AT1G13990,AT5G61820
AT1G21410,AT3G20500
AT1G54575,AT5G61640
AT2G22660,AT4G29660
AT3G08650,AT5G18120
AT1G21920,AT2G02360
AT2G26240,AT3G60520
AT4G11600,AT4G22820
AT1G53030,AT2G22660
AT1G20225,AT1G78670
AT1G04350,AT4G09760
AT1G25450,AT1G31820
AT1G56280,AT5G58570
AT1G75180,AT2G33855
AT3G45300,AT4G22820
AT1G72890,AT4G27745
AT1G27320,AT3G46940
AT1G25450,AT2G04032
AT3G26280,AT5G35560
AT4G28390,AT4G35750
AT4G33780,AT5G52450
AT1G21000,AT2G21185
AT4G02080,AT4G26450
AT1G07750,AT5G17610
AT2G32680,AT3G11010
AT3G15580,AT5G11060
AT1G04350,AT4G34920
AT1G76180,AT5G36220
AT1G54290,AT5G11680
AT2G15830,AT5G43260
AT1G73980,AT1G76390
AT1G69450,AT5G39030
AT3G27110,AT5G25540
AT3G14620,AT3G48320
AT1G01240,AT4G14020
AT4G19960,AT5G47430
AT4G24400,AT5G47430
AT1G80080,AT5G65390
AT3G17000,AT5G64370
AT3G01690,AT3G26070
AT1G50570,AT2G35940
AT1G31820,AT4G19670
AT1G13390,AT3G46940
AT1G21000,AT3G13910
AT3G51430,AT3G55880
AT1G79520,AT5G63850
AT1G14340,AT2G22660
AT1G65000,AT4G20110
AT4G19960,AT5G10650
AT3G01470,AT3G45300
AT1G21410,AT5G10770
AT5G42300,AT5G53350
AT1G64950,AT4G22260
AT2G04039,AT4G26530
AT3G06170,AT5G03240
AT2G16630,AT3G54400
AT1G21410,AT4G27830
AT1G17080,AT4G11600
AT1G13960,AT2G39780
AT3G14100,AT5G12200
AT1G20225,AT4G26980
AT4G14990,AT5G42300
AT1G03380,AT5G63030
AT1G02305,AT3G51130
AT3G07870,AT5G43450
AT2G33150,AT5G14640
AT1G20450,AT3G23280
AT1G53030,AT4G35580
AT2G04032,AT5G36220
AT3G51130,AT3G51250
AT2G01540,AT4G01610
AT1G27320,AT1G51550
AT2G33770,AT3G13110
AT1G15400,AT3G56190
AT1G07370,AT2G36220
AT4G01610,AT5G17860
AT1G65820,AT3G51430
AT1G55910,AT1G59580
AT3G54620,AT4G27830
AT1G69490,AT3G17810
AT2G02760,AT4G35580
AT3G17800,AT3G56240
AT1G32230,AT1G64360
AT1G35190,AT5G13810
AT2G26080,AT5G44410
AT4G02740,AT4G25640
AT1G78370,AT2G04039
AT2G04570,AT4G19420
AT1G73980,AT4G26980
AT3G24480,AT3G48890
AT1G72160,AT4G16490
AT1G45145,AT5G53120
AT1G47128,AT3G11410
AT1G20693,AT2G39270
AT3G09390,AT4G31170
AT1G11700,AT1G33110
AT1G16890,AT2G45630
AT1G11910,AT3G28050
AT1G15740,AT1G22930
AT1G35190,AT5G61500
