AT3G57680,AT4G01610
AT1G30090,AT3G54620
AT1G45145,AT1G71190
AT1G18720,AT1G76150
AT1G07640,AT3G22370
AT2G33770,AT3G13110
AT1G04440,AT4G00550
AT2G36800,AT3G51630
AT2G40840,AT3G46970
AT2G41220,AT5G54080
AT3G13810,AT4G18670
AT3G17020,AT4G13010
AT1G18470,AT5G27520
AT1G33970,AT3G10912
AT1G44170,AT3G28100
AT1G04780,AT2G05630
AT4G36210,AT5G66230
AT5G42560,AT5G46760
AT1G09750,AT3G17840
AT4G02740,AT5G36220
AT4G19960,AT4G27830
AT1G12810,AT4G24220
AT3G19420,AT4G17840
AT1G17080,AT5G50400
AT3G60690,AT4G38540
AT1G21410,AT1G27980
AT2G15230,AT5G49890
AT5G27930,AT5G58950
AT3G03120,AT3G20500
AT1G64950,AT3G20500
AT3G13810,AT5G41960
AT1G02300,AT1G78070
AT1G13390,AT3G20620
AT1G56280,AT2G29120
AT1G62510,AT1G72130
AT1G48430,AT3G03520
AT2G41700,AT3G02740
AT1G53560,AT3G08730
AT1G32870,AT5G05230
AT1G01470,AT2G35680
AT5G38240,AT5G47050
AT1G05060,AT1G71040
AT2G41220,AT4G22260
AT5G39610,AT5G57900
AT1G70690,AT2G04780
AT1G22330,AT3G63200
AT1G26670,AT5G07030
AT1G28580,AT1G72830
AT2G47270,AT3G17790
AT3G57770,AT5G42090
AT1G74280,AT3G13810
AT2G43850,AT5G03200
AT1G74670,AT3G44990
AT1G56700,AT4G15260
AT3G01470,AT4G27020
AT3G51730,AT4G27830
AT1G10940,AT5G66250
AT3G18770,AT5G55860
AT4G02740,AT4G33210
AT3G56170,AT5G17280
AT1G33970,AT4G14020
AT1G62840,AT3G16650
AT5G43020,AT5G66750
AT3G17250,AT5G51040
AT1G34190,AT5G13860
AT3G01470,AT5G64370
AT4G27745,AT5G14640
AT4G32150,AT5G57580
AT1G47960,AT2G02040
AT1G76150,AT5G55220
AT3G63310,AT5G25350
AT2G04780,AT4G37450
AT3G03440,AT4G04800
AT1G06430,AT1G23130
AT1G54115,AT2G47270
AT2G04780,AT3G50770
AT3G28050,AT3G57770
AT5G08750,AT5G19540
AT1G21000,AT5G07470
AT1G01650,AT1G22930
AT2G31510,AT5G61530
AT1G04140,AT3G01170
AT2G22660,AT4G22840
AT1G64360,AT4G23010
AT4G27830,AT4G37310
AT1G07640,AT5G01800
AT1G09200,AT4G27020
AT1G04860,AT4G24690
AT1G18720,AT5G41560
AT1G21000,AT3G01400
AT1G10340,AT2G45510
AT1G51200,AT3G23280
AT1G60440,AT5G05760
AT1G76920,AT4G25900
AT1G77770,AT3G19820
AT1G15880,AT3G18770
AT1G72120,AT4G27830
AT1G76180,AT2G26210
AT1G31280,AT5G45040
AT3G03870,AT3G07540
AT2G27190,AT3G16650
AT3G02460,AT5G06150
AT3G17790,AT5G14640
AT2G41220,AT4G01290
AT3G13062,AT5G56660
AT4G32940,AT5G03170
AT1G58030,AT3G51890
AT2G44100,AT4G08320
AT1G31280,AT5G49570
AT1G69490,AT3G55470
AT2G35940,AT5G03210
AT2G44140,AT4G27745
AT1G07280,AT3G15840
